age,marital,address,income,inccat,car,carcat,ed,employ,retire,empcat,jobsat,gender,reside,wireless,multline,voice,pager,internet,callid,callwait,owntv,ownvcr,owncd,ownpda,ownpc,ownfax,news,response,gender_new
55,1,12,72,3,36.2,3,1,23,0,3,5,f,4,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1
56,0,29,153,4,76.9,3,1,35,0,3,4,m,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,2
28,1,9,28,2,13.7,1,3,4,0,1,3,f,3,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1
24,1,4,26,2,12.5,1,4,0,0,1,1,m,3,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,2
25,0,2,23,1,11.3,1,2,5,0,2,2,m,2,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,2
45,1,9,76,4,37.2,3,3,13,0,2,2,m,2,0,1,1,1,0,0,0,1,1,1,0,1,0,0,1,2
42,0,19,40,2,19.8,2,3,10,0,2,2,m,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,2
35,0,15,57,3,28.2,2,2,1,0,1,1,f,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1
46,0,26,24,1,12.2,1,1,11,0,2,5,f,2,0,0,1,0,0,1,0,1,1,1,0,0,0,1,1,1
34,1,0,89,4,46.1,3,3,12,0,2,4,m,6,1,0,1,0,0,1,1,1,1,1,0,0,1,1,0,2
55,1,17,72,3,35.5,3,3,2,0,1,3,f,2,1,0,0,0,1,0,0,1,1,1,0,1,0,1,1,1
28,0,3,24,1,11.8,1,4,4,0,1,5,m,1,1,0,0,1,1,0,1,1,0,0,0,1,1,1,1,2
31,1,9,40,2,21.3,2,4,0,0,1,2,f,4,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1
42,0,8,137,4,68.9,3,3,3,0,1,1,f,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1
35,0,8,70,3,34.1,3,3,9,0,2,4,m,3,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,2
